"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"8","50","false","10","{breed attack-profiles}","3","7","9"
"8","50","false","11","{breed attack-profiles}","3","0","11"
"8","50","false","12","{breed attack-profiles}","4","0","11"
"8","50","false","13","{breed random-profiles}","2","-3","-2"
"8","50","false","14","{breed random-profiles}","3","-1","-3"
"8","50","false","15","{breed random-profiles}","6","-1","2"
"8","50","false","16","{breed random-profiles}","7","3","5"
"8","50","false","17","{breed random-profiles}","8","-3","2"
"8","50","false","18","{breed attack-profiles}","4","13","22"
"8","50","false","19","{breed random-profiles}","4","1","-2"
"8","50","false","20","{breed random-profiles}","5","-1","-3"
"8","50","false","21","{breed random-profiles}","6","1","-2"
"8","50","false","22","{breed attack-profiles}","5","5","27"
"8","50","false","23","{breed attack-profiles}","6","0","27"
"8","50","false","24","{breed attack-profiles}","7","0","27"
"8","50","false","25","{breed random-profiles}","7","-1","-3"
"8","50","false","26","{breed attack-profiles}","5","23","34"
"8","50","false","27","{breed random-profiles}","8","-1","-4"
"8","50","false","28","{breed attack-profiles}","6","3","37"
"8","50","false","29","{breed random-profiles}","9","-5","-3"
"8","50","false","30","{breed random-profiles}","9","-1","-5"
"8","50","false","31","{breed attack-profiles}","7","6","43"
"8","50","false","32","{breed random-profiles}","10","-1","-6"
"8","50","false","33","{breed attack-profiles}","8","3","46"
"8","50","false","34","{breed random-profiles}","10","1","-2"
"8","50","false","35","{breed attack-profiles}","9","2","48"
"8","50","false","36","{breed attack-profiles}","10","0","48"
"8","50","false","37","{breed attack-profiles}","11","0","48"
"8","50","false","38","{breed random-profiles}","11","-1","-7"
"8","50","false","39","{breed random-profiles}","12","0","-7"
"8","50","false","40","{breed attack-profiles}","8","21","48"
"8","50","false","41","{breed random-profiles}","11","-3","-5"
"8","50","false","42","{breed attack-profiles}","12","6","54"
"8","50","false","43","{breed random-profiles}","12","-4","-9"
"8","50","false","44","{breed attack-profiles}","13","2","56"
"8","50","false","45","{breed attack-profiles}","9","6","54"
"8","50","false","46","{breed random-profiles}","13","-2","-11"
"8","50","false","47","{breed attack-profiles}","14","2","58"
"8","50","false","48","{breed random-profiles}","14","0","-11"
"8","50","false","49","{breed random-profiles}","15","0","-11"
"8","50","false","50","{breed attack-profiles}","15","0","58"
"9","50","false","0","{breed random-profiles}","1","3","3"
"9","50","false","1","{breed random-profiles}","1","-1","-1"
"9","50","false","2","{breed random-profiles}","2","1","4"
"9","50","false","3","{breed random-profiles}","2","-1","-2"
"9","50","false","4","{breed random-profiles}","3","3","7"
"9","50","false","5","{breed attack-profiles}","1","7","7"
"9","50","false","6","{breed random-profiles}","3","-3","-5"
"9","50","false","7","{breed attack-profiles}","2","2","9"
"9","50","false","8","{breed random-profiles}","4","1","-4"
"9","50","false","9","{breed random-profiles}","5","1","-3"
"9","50","false","10","{breed attack-profiles}","1","15","15"
"9","50","false","11","{breed random-profiles}","4","-3","4"
"9","50","false","12","{breed attack-profiles}","3","6","15"
"9","50","false","13","{breed random-profiles}","6","1","-2"
"9","50","false","14","{breed attack-profiles}","2","4","19"
"9","50","false","15","{breed random-profiles}","5","-3","1"
"9","50","false","16","{breed attack-profiles}","3","2","21"
"9","50","false","17","{breed random-profiles}","6","1","2"
"9","50","false","18","{breed attack-profiles}","4","2","23"
"9","50","false","19","{breed attack-profiles}","5","0","23"
"9","50","false","20","{breed random-profiles}","7","-1","-3"
"9","50","false","21","{breed random-profiles}","8","-1","-4"
"9","50","false","22","{breed attack-profiles}","6","4","27"
"9","50","false","23","{breed attack-profiles}","7","0","27"
"9","50","false","24","{breed random-profiles}","9","-1","-5"
"9","50","false","25","{breed attack-profiles}","8","3","30"
"9","50","false","26","{breed attack-profiles}","4","15","30"
"9","50","false","27","{breed attack-profiles}","9","0","30"
"9","50","false","28","{breed attack-profiles}","10","0","30"
"9","50","false","29","{breed random-profiles}","7","-1","1"
"9","50","false","30","{breed random-profiles}","8","-1","0"
"9","50","false","31","{breed random-profiles}","10","1","-4"
"9","50","false","32","{breed attack-profiles}","11","6","36"
"9","50","false","33","{breed random-profiles}","11","-3","-7"
"9","50","false","34","{breed attack-profiles}","12","2","38"
"9","50","false","35","{breed attack-profiles}","5","10","40"
"9","50","false","36","{breed attack-profiles}","13","0","38"
"9","50","false","37","{breed random-profiles}","9","-3","-3"
"9","50","false","38","{breed attack-profiles}","6","2","42"
"9","50","false","39","{breed attack-profiles}","14","2","40"
"9","50","false","40","{breed attack-profiles}","7","0","42"
"9","50","false","41","{breed attack-profiles}","8","0","42"
"9","50","false","42","{breed random-profiles}","12","-5","-12"
"9","50","false","43","{breed attack-profiles}","9","3","45"
"9","50","false","44","{breed random-profiles}","13","-2","-14"
"9","50","false","45","{breed random-profiles}","14","0","-14"
"9","50","false","46","{breed attack-profiles}","10","3","48"
"9","50","false","47","{breed attack-profiles}","15","6","46"
"9","50","false","48","{breed attack-profiles}","11","0","48"
"9","50","false","49","{breed random-profiles}","15","-1","-15"
